<pre id='indexPre'>
GRB | RA | Dec | Err90 | #breaks | lc type | NH_gal | Redshift | Ave_NH_wt | Ave_dNH_Wt | Ave_Gamma_WT | Ave_dgamma_WT | Ave_obs_flux_WT | d_Ave_obs_flux_WT | Ave_unabs_flux_WT | Ave_NH_PC | Ave_dNH_PC | Ave_Gamma_PC | Ave_dgamma_PC | Ave_obs_flux_PC | d_Ave_obs_flux_PC | Ave_unabs_flux_PC | Flux_11 | Flux_24 | alpha_1 | D_alpha_1| break_1 | D_break_1 | NH_1 (wt) | D_NH_1 (wt) | NH_1 (pc) | D_NH_1 (pc) | Gamma_1 (wt) | D_Gamma_1 (wt) | Gamma_1 (pc) | D_Gamma_1 (pc) | Obs Flux_1 (wt) | D_Obs Flux_1 (wt) | Unabs Flux_1 (wt) | Obs Flux_1 (pc) | D_Obs Flux_1 (pc) | Unabs Flux_1 (pc) | alpha_2 | D_alpha_2| break_2 | D_break_2 | NH_2 (wt) | D_NH_2 (wt) | NH_2 (pc) | D_NH_2 (pc) | Gamma_2 (wt) | D_Gamma_2 (wt) | Gamma_2 (pc) | D_Gamma_2 (pc) | Obs Flux_2 (wt) | D_Obs Flux_2 (wt) | Unabs Flux_2 (wt) | Obs Flux_2 (pc) | D_Obs Flux_2 (pc) | Unabs Flux_2 (pc) | alpha_3 | D_alpha_3| break_3 | D_break_3 | NH_3 (wt) | D_NH_3 (wt) | NH_3 (pc) | D_NH_3 (pc) | Gamma_3 (wt) | D_Gamma_3 (wt) | Gamma_3 (pc) | D_Gamma_3 (pc) | Obs Flux_3 (wt) | D_Obs Flux_3 (wt) | Unabs Flux_3 (wt) | Obs Flux_3 (pc) | D_Obs Flux_3 (pc) | Unabs Flux_3 (pc) | alpha_4 | D_alpha_4| break_4 | D_break_4 | NH_4 (wt) | D_NH_4 (wt) | NH_4 (pc) | D_NH_4 (pc) | Gamma_4 (wt) | D_Gamma_4 (wt) | Gamma_4 (pc) | D_Gamma_4 (pc) | Obs Flux_4 (wt) | D_Obs Flux_4 (wt) | Unabs Flux_4 (wt) | Obs Flux_4 (pc) | D_Obs Flux_4 (pc) | Unabs Flux_4 (pc) | alpha_5 | D_alpha_5| break_5 | D_break_5 | NH_5 (wt) | D_NH_5 (wt) | NH_5 (pc) | D_NH_5 (pc) | Gamma_5 (wt) | D_Gamma_5 (wt) | Gamma_5 (pc) | D_Gamma_5 (pc) | Obs Flux_5 (wt) | D_Obs Flux_5 (wt) | Unabs Flux_5 (wt) | Obs Flux_5 (pc) | D_Obs Flux_5 (pc) | Unabs Flux_5 (pc) | alpha_6 | D_alpha_6| NH_6 (wt) | D_NH_6 (wt) | NH_6 (pc) | D_NH_6 (pc) | Gamma_6 (wt) | D_Gamma_6 (wt) | Gamma_6 (pc) | D_Gamma_6 (pc) | Obs Flux_6 (wt) | D_Obs Flux_6 (wt) | Unabs Flux_6 (wt) | Obs Flux_6 (pc) | D_Obs Flux_6 (pc) | Unabs Flux_6 (pc) 
Swift J164449.3+573451 | 251.20813 | 57.58325 | 1.4 | 0 | TBD | 1.75&times;10<sup>-2</sup> | 0.354 | 3.4 | +1.2, -1.0| 2.4 | +0.47, -0.43| 1.60&times;10<sup>-10</sup> | +3.05&times;10<sup>-11</sup>, -2.57&times;10<sup>-11</sup>| 4.87&times;10<sup>-10</sup> | 2.3 | +0.12, -0.12| 1.8 | +4.98&times;10<sup>-2</sup>, -4.90&times;10<sup>-2</sup>| 8.70&times;10<sup>-11</sup> | +2.02&times;10<sup>-12</sup>, -1.97&times;10<sup>-12</sup>| 1.43&times;10<sup>-10</sup> | N/A | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
SGR 1830-0645 | 277.67376 | -6.75479 | 2.0 | 0 | No breaks | 1.1 | N/A | 4.4 | +27.8, -3.2| 3.6 | +55.9, -4.7| 7.16&times;10<sup>-11</sup> | +4.29&times;10<sup>-10</sup>, -5.42&times;10<sup>-11</sup>| 7.73&times;10<sup>-10</sup> | 0.97 | +0.28, -0.26| 2.0 | +0.17, -0.17| 5.54&times;10<sup>-11</sup> | +3.71&times;10<sup>-12</sup>, -3.45&times;10<sup>-12</sup>| 1.18&times;10<sup>-10</sup> | 5.68&times;10<sup>-11</sup> | 5.67&times;10<sup>-11</sup> | 2.07&times;10<sup>-3</sup> | +3.09&times;10<sup>-2</sup>, -2.07&times;10<sup>-3</sup>| N/A | , | 4.4 | +27.8, -3.2| 0.97 | +0.28, -0.26| 3.6 | +55.9, -4.7| 2.0 | +0.17, -0.17| 7.16&times;10<sup>-11</sup> | , | 7.73&times;10<sup>-10</sup> | 5.54&times;10<sup>-11</sup> | , | 1.18&times;10<sup>-10</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 260127A | 231.87927 | 6.7626 | 1.9 | 4 | Canonical | 4.07&times;10<sup>-2</sup> | N/A | 3.92&times;10<sup>-2</sup> | +4.56&times;10<sup>-2</sup>, -3.91&times;10<sup>-2</sup>| 2.1 | +0.20, -0.19| 3.26&times;10<sup>-10</sup> | +3.61&times;10<sup>-11</sup>, -3.32&times;10<sup>-11</sup>| 4.03&times;10<sup>-10</sup> | 9.10&times;10<sup>-2</sup> | +2.12&times;10<sup>-2</sup>, -2.02&times;10<sup>-2</sup>| 1.8 | +6.54&times;10<sup>-2</sup>, -6.37&times;10<sup>-2</sup>| 6.20&times;10<sup>-11</sup> | +2.54&times;10<sup>-12</sup>, -2.43&times;10<sup>-12</sup>| 7.38&times;10<sup>-11</sup> | 5.70&times;10<sup>-12</sup> | 2.73&times;10<sup>-13</sup> | 4.5 | +0.56, -0.36| 373 | +11.8, -17.7| 3.92&times;10<sup>-2</sup> | +4.56&times;10<sup>-2</sup>, -3.91&times;10<sup>-2</sup>| 2.90&times;10<sup>-11</sup> | +5.56&times;10<sup>-2</sup>, -2.90&times;10<sup>-11</sup>| 2.1 | +0.20, -0.19| 1.9 | +0.30, -0.20| 3.26&times;10<sup>-10</sup> | +3.61&times;10<sup>-11</sup>, -3.32&times;10<sup>-11</sup>| 4.03&times;10<sup>-10</sup> | 1.19&times;10<sup>-10</sup> | +2.02&times;10<sup>-11</sup>, -2.09&times;10<sup>-11</sup>| 1.23&times;10<sup>-10</sup> | 0.92 | +0.27, -0.19| 1161 | +30.3, -71.7| N/A | , | 8.20&times;10<sup>-2</sup> | +6.79&times;10<sup>-2</sup>, -5.80&times;10<sup>-2</sup>| N/A | , | 1.9 | +0.23, -0.22| N/A | , | N/A | 5.54&times;10<sup>-11</sup> | +8.07&times;10<sup>-12</sup>, -6.88&times;10<sup>-12</sup>| 6.86&times;10<sup>-11</sup> | 8.0 | +1.38&times;10<sup>-3</sup>, -2.7| 1358 | +687, -63.7| N/A | , | 1.79&times;10<sup>-7</sup> | +0.12, -1.79&times;10<sup>-7</sup>| N/A | , | 1.9 | +0.63, -0.27| N/A | , | N/A | 1.32&times;10<sup>-11</sup> | +3.89&times;10<sup>-12</sup>, -3.93&times;10<sup>-12</sup>| 1.34&times;10<sup>-11</sup> | 0.17 | +0.10, -0.32| 3.92&times;10<sup>4</sup> | +4082, -2538| N/A | , | 0.10 | +2.42&times;10<sup>-2</sup>, -2.30&times;10<sup>-2</sup>| N/A | , | 1.7 | +7.07&times;10<sup>-2</sup>, -6.88&times;10<sup>-2</sup>| N/A | , | N/A | 1.66&times;10<sup>-10</sup> | +7.40&times;10<sup>-12</sup>, -7.06&times;10<sup>-12</sup>| 1.99&times;10<sup>-10</sup> | 3.9 | +1.1, -0.60| N/A | , | N/A | , | 8.63&times;10<sup>-2</sup> | +7.91&times;10<sup>-2</sup>, -6.75&times;10<sup>-2</sup>| N/A | , | 2.1 | +0.29, -0.27| N/A | , | N/A | 2.00&times;10<sup>-12</sup> | +3.46&times;10<sup>-13</sup>, -2.83&times;10<sup>-13</sup>| 2.62&times;10<sup>-12</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 260120B | 284.65973 | 61.90507 | 2.1 | 0 | No breaks | 7.37&times;10<sup>-2</sup> | N/A | 0.33 | +0.85, -0.33| 2.2 | +2.2, -1.3| 9.66&times;10<sup>-11</sup> | +1.26&times;10<sup>-10</sup>, -5.36&times;10<sup>-11</sup>| 1.71&times;10<sup>-10</sup> | 0.14 | +0.12, -9.81&times;10<sup>-2</sup>| 2.0 | +0.29, -0.27| 4.22&times;10<sup>-12</sup> | +7.05&times;10<sup>-13</sup>, -5.86&times;10<sup>-13</sup>| 5.75&times;10<sup>-12</sup> | 6.58&times;10<sup>-13</sup> | 3.40&times;10<sup>-13</sup> | 0.85 | +6.23&times;10<sup>-2</sup>, -5.60&times;10<sup>-2</sup>| N/A | , | 0.33 | +0.85, -0.33| 0.14 | +0.12, -9.81&times;10<sup>-2</sup>| 2.2 | +2.2, -1.3| 2.0 | +0.29, -0.27| 9.66&times;10<sup>-11</sup> | , | 1.71&times;10<sup>-10</sup> | 4.22&times;10<sup>-12</sup> | , | 5.75&times;10<sup>-12</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 260117A | 188.13864 | 43.91274 | 4.9 | 0 | TBD | 1.46&times;10<sup>-2</sup> | N/A | N/A | , | N/A | , | N/A | , | N/A | 0.30 | +0.89, -0.30| 1.8 | +1.4, -1.1| 3.90&times;10<sup>-13</sup> | +4.37&times;10<sup>-13</sup>, -1.89&times;10<sup>-13</sup>| 5.21&times;10<sup>-13</sup> | N/A | N/A | N/A | , | N/A | , | N/A | , | 0.30 | +0.89, -0.30| N/A | , | 1.8 | +1.4, -1.1| N/A | , | N/A | 3.90&times;10<sup>-13</sup> | , | 5.21&times;10<sup>-13</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 260114A | 74.5984821669 | -8.0151654558 | 4.2 | 0 | No breaks | 5.72&times;10<sup>-2</sup> | N/A | N/A | , | N/A | , | N/A | , | N/A | 0.44 | +0.81, -0.39| 1.7 | +0.84, -0.64| 8.81&times;10<sup>-13</sup> | +3.93&times;10<sup>-13</sup>, -2.76&times;10<sup>-13</sup>| 1.23&times;10<sup>-12</sup> | 5.72&times;10<sup>-18</sup> | 5.86&times;10<sup>-19</sup> | 2.9 | +0.00&times;10<sup>0</sup>, 0.00&times;10<sup>0</sup>| N/A | , | N/A | , | 0.44 | +0.81, -0.39| N/A | , | 1.7 | +0.84, -0.64| N/A | , | N/A | 8.81&times;10<sup>-13</sup> | , | 1.23&times;10<sup>-12</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 260104A | 337.3992 | -21.29552 | 2.0 | 1 | One-break | 3.40&times;10<sup>-2</sup> | N/A | N/A | , | N/A | , | N/A | , | N/A | 2.24&times;10<sup>-3</sup> | +3.71&times;10<sup>-2</sup>, -2.24&times;10<sup>-3</sup>| 1.8 | +0.16, -0.10| 6.12&times;10<sup>-12</sup> | +5.14&times;10<sup>-13</sup>, -5.80&times;10<sup>-13</sup>| 6.55&times;10<sup>-12</sup> | 4.71&times;10<sup>-13</sup> | 1.93&times;10<sup>-13</sup> | -0.56 | +0.23, -0.27| 968 | +200, -116| N/A | , | 4.12&times;10<sup>-6</sup> | +8.67&times;10<sup>-2</sup>, -4.12&times;10<sup>-6</sup>| N/A | , | 1.8 | +0.41, -0.21| N/A | , | N/A | 2.43&times;10<sup>-11</sup> | +4.59&times;10<sup>-12</sup>, -5.27&times;10<sup>-12</sup>| 2.61&times;10<sup>-11</sup> | 1.1 | +6.76&times;10<sup>-2</sup>, -6.12&times;10<sup>-2</sup>| N/A | , | N/A | , | 1.53&times;10<sup>-2</sup> | +5.16&times;10<sup>-2</sup>, -1.53&times;10<sup>-2</sup>| N/A | , | 1.7 | +0.19, -0.16| N/A | , | N/A | 2.04&times;10<sup>-12</sup> | +2.55&times;10<sup>-13</sup>, -2.37&times;10<sup>-13</sup>| 2.22&times;10<sup>-12</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 260102A | 183.94925 | 48.25058 | 6.2 | 0 | TBD | 1.75&times;10<sup>-2</sup> | N/A | N/A | , | N/A | , | N/A | , | N/A | 5.0 | +11.4, -4.7| 5.8 | +53.9, -4.2| 1.67&times;10<sup>-13</sup> | +1.76&times;10<sup>-13</sup>, -8.30&times;10<sup>-14</sup>| 2.85&times;10<sup>-10</sup> | N/A | N/A | N/A | , | N/A | , | N/A | , | 5.0 | +11.4, -4.7| N/A | , | 5.8 | +53.9, -4.2| N/A | , | N/A | 1.67&times;10<sup>-13</sup> | , | 2.85&times;10<sup>-10</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 260101A | 86.42889 | 63.59237 | 2.2 | 3 | Canonical | 0.16 | N/A | 4.55&times;10<sup>-2</sup> | +5.41&times;10<sup>-2</sup>, -4.55&times;10<sup>-2</sup>| 2.0 | +0.16, -0.15| 2.57&times;10<sup>-10</sup> | +2.31&times;10<sup>-11</sup>, -2.16&times;10<sup>-11</sup>| 3.57&times;10<sup>-10</sup> | 5.73&times;10<sup>-2</sup> | +5.89&times;10<sup>-2</sup>, -5.37&times;10<sup>-2</sup>| 1.9 | +0.16, -0.15| 1.16&times;10<sup>-11</sup> | +1.07&times;10<sup>-12</sup>, -9.73&times;10<sup>-13</sup>| 1.55&times;10<sup>-11</sup> | 5.09&times;10<sup>-13</sup> | 1.27&times;10<sup>-13</sup> | 3.2 | +1.2, -1.1| 181 | +57.3, -29.5| 9.04&times;10<sup>-2</sup> | +8.25&times;10<sup>-2</sup>, -7.38&times;10<sup>-2</sup>| N/A | , | 2.0 | +0.22, -0.21| N/A | , | 2.59&times;10<sup>-10</sup> | +3.29&times;10<sup>-11</sup>, -2.93&times;10<sup>-11</sup>| 3.74&times;10<sup>-10</sup> | N/A | , | N/A | -0.10 | +0.33, -0.58| 950 | +208, -187| 1.83&times;10<sup>-2</sup> | +7.65&times;10<sup>-2</sup>, -1.83&times;10<sup>-2</sup>| 4.02&times;10<sup>-2</sup> | +0.10, -4.02&times;10<sup>-2</sup>| 2.1 | +0.24, -0.16| 1.7 | +0.25, -0.21| 2.54&times;10<sup>-10</sup> | +3.01&times;10<sup>-11</sup>, -3.02&times;10<sup>-11</sup>| 3.54&times;10<sup>-10</sup> | 9.38&times;10<sup>-11</sup> | +1.53&times;10<sup>-11</sup>, -1.30&times;10<sup>-11</sup>| 1.17&times;10<sup>-10</sup> | 1.1 | +0.13, -0.14| 8933 | +8866, -3550| N/A | , | 5.32&times;10<sup>-2</sup> | +8.32&times;10<sup>-2</sup>, -5.32&times;10<sup>-2</sup>| N/A | , | 2.0 | +0.23, -0.22| N/A | , | N/A | 4.46&times;10<sup>-11</sup> | +6.16&times;10<sup>-12</sup>, -5.39&times;10<sup>-12</sup>| 6.09&times;10<sup>-11</sup> | 1.8 | +0.80, -0.23| N/A | , | N/A | , | 9.98&times;10<sup>-2</sup> | +0.13, -9.98&times;10<sup>-2</sup>| N/A | , | 2.1 | +0.34, -0.31| N/A | , | N/A | 1.31&times;10<sup>-12</sup> | +2.44&times;10<sup>-13</sup>, -1.99&times;10<sup>-13</sup>| 2.02&times;10<sup>-12</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 251230A | 179.89737 | 11.43831 | 2.0 | 2 | Canonical | 1.88&times;10<sup>-2</sup> | N/A | 2.51&times;10<sup>-2</sup> | +1.32&times;10<sup>-2</sup>, -1.25&times;10<sup>-2</sup>| 1.8 | +5.75&times;10<sup>-2</sup>, -5.56&times;10<sup>-2</sup>| 6.44&times;10<sup>-10</sup> | +2.33&times;10<sup>-11</sup>, -2.25&times;10<sup>-11</sup>| 7.00&times;10<sup>-10</sup> | 3.85&times;10<sup>-2</sup> | +3.60&times;10<sup>-2</sup>, -3.17&times;10<sup>-2</sup>| 1.8 | +0.14, -0.14| 2.07&times;10<sup>-11</sup> | +1.91&times;10<sup>-12</sup>, -1.73&times;10<sup>-12</sup>| 2.30&times;10<sup>-11</sup> | 4.25&times;10<sup>-13</sup> | 1.44&times;10<sup>-13</sup> | 5.2 | +0.35, -0.36| 97.3 | +3.2, -2.6| 9.54&times;10<sup>-2</sup> | +4.55&times;10<sup>-2</sup>, -4.00&times;10<sup>-2</sup>| N/A | , | 1.6 | +0.14, -0.13| N/A | , | 2.30&times;10<sup>-9</sup> | +2.13&times;10<sup>-10</sup>, -1.99&times;10<sup>-10</sup>| 2.61&times;10<sup>-9</sup> | N/A | , | N/A | 0.13 | +0.23, -0.32| 164 | +9.2, -10.2| 2.80&times;10<sup>-2</sup> | +2.55&times;10<sup>-2</sup>, -2.29&times;10<sup>-2</sup>| N/A | , | 1.9 | +0.12, -0.12| N/A | , | 8.25&times;10<sup>-10</sup> | +6.20&times;10<sup>-11</sup>, -5.83&times;10<sup>-11</sup>| 9.14&times;10<sup>-10</sup> | N/A | , | N/A | 1.4 | +4.30&times;10<sup>-2</sup>, -4.04&times;10<sup>-2</sup>| N/A | , | 2.88&times;10<sup>-2</sup> | +1.86&times;10<sup>-2</sup>, -1.70&times;10<sup>-2</sup>| 6.52&times;10<sup>-2</sup> | +4.32&times;10<sup>-2</sup>, -3.78&times;10<sup>-2</sup>| 2.0 | +8.59&times;10<sup>-2</sup>, -8.26&times;10<sup>-2</sup>| 1.9 | +0.16, -0.15| 4.11&times;10<sup>-10</sup> | +2.07&times;10<sup>-11</sup>, -1.99&times;10<sup>-11</sup>| 4.62&times;10<sup>-10</sup> | 4.53&times;10<sup>-12</sup> | +4.37&times;10<sup>-13</sup>, -3.93&times;10<sup>-13</sup>| 5.30&times;10<sup>-12</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 251222A | 77.19502 | -7.21354 | 2.5 | 0 | No breaks | 9.31&times;10<sup>-2</sup> | N/A | N/A | , | N/A | , | N/A | , | N/A | 1.13&times;10<sup>-2</sup> | +9.08&times;10<sup>-2</sup>, -1.13&times;10<sup>-2</sup>| 1.9 | +0.31, -0.20| 5.64&times;10<sup>-12</sup> | +9.21&times;10<sup>-13</sup>, -8.99&times;10<sup>-13</sup>| 6.81&times;10<sup>-12</sup> | 7.57&times;10<sup>-13</sup> | 1.67&times;10<sup>-13</sup> | 1.9 | +0.81, -0.67| N/A | , | N/A | , | 1.13&times;10<sup>-2</sup> | +9.08&times;10<sup>-2</sup>, -1.13&times;10<sup>-2</sup>| N/A | , | 1.9 | +0.31, -0.20| N/A | , | N/A | 5.64&times;10<sup>-12</sup> | , | 6.81&times;10<sup>-12</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 251221A | 101.42765 | 0.73229 | 2.0 | 0 | No breaks | 0.73 | N/A | 2.57&times;10<sup>-8</sup> | +2.5, -2.57&times;10<sup>-8</sup>| 1.50&times;10<sup>-2</sup> | +1.9, -1.1| 3.44&times;10<sup>-10</sup> | +4.13&times;10<sup>-10</sup>, -2.04&times;10<sup>-10</sup>| 2.87&times;10<sup>-10</sup> | 0.41 | +0.24, -0.22| 1.5 | +0.19, -0.18| 4.19&times;10<sup>-11</sup> | +3.82&times;10<sup>-12</sup>, -3.48&times;10<sup>-12</sup>| 6.00&times;10<sup>-11</sup> | 3.84&times;10<sup>-13</sup> | 1.64&times;10<sup>-13</sup> | 1.1 | +0.16, -0.12| N/A | , | 2.57&times;10<sup>-8</sup> | +2.5, -2.57&times;10<sup>-8</sup>| 0.41 | +0.24, -0.22| 1.50&times;10<sup>-2</sup> | +1.9, -1.1| 1.5 | +0.19, -0.18| 3.44&times;10<sup>-10</sup> | , | 2.87&times;10<sup>-10</sup> | 4.19&times;10<sup>-11</sup> | , | 6.00&times;10<sup>-11</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 251215A | 122.61893 | -36.74266 | 5.7 | 0 | TBD | 0.87 | N/A | N/A | , | N/A | , | N/A | , | N/A | 1.4 | +3.0, -1.4| 3.3 | +2.6, -1.8| 1.98&times;10<sup>-13</sup> | +1.91&times;10<sup>-13</sup>, -8.57&times;10<sup>-14</sup>| 2.33&times;10<sup>-12</sup> | N/A | N/A | N/A | , | N/A | , | N/A | , | 1.4 | +3.0, -1.4| N/A | , | 3.3 | +2.6, -1.8| N/A | , | N/A | 1.98&times;10<sup>-13</sup> | , | 2.33&times;10<sup>-12</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
GRB 251214B | 330.2106 | -9.16291 | 1.9 | 2 | Canonical | 4.01&times;10<sup>-2</sup> | N/A | 0.24 | +0.78, -0.24| 3.2 | +4.5, -1.6| 1.15&times;10<sup>-10</sup> | +1.36&times;10<sup>-10</sup>, -5.35&times;10<sup>-11</sup>| 3.56&times;10<sup>-10</sup> | 0.12 | +6.64&times;10<sup>-2</sup>, -5.79&times;10<sup>-2</sup>| 1.8 | +0.19, -0.18| 1.27&times;10<sup>-11</sup> | +1.50&times;10<sup>-12</sup>, -1.33&times;10<sup>-12</sup>| 1.58&times;10<sup>-11</sup> | 2.01&times;10<sup>-13</sup> | 7.35&times;10<sup>-14</sup> | 2.0 | +3.9, -0.67| 89.9 | +40.5, -31.0| 0.24 | +0.78, -0.24| N/A | , | 3.2 | +4.5, -1.6| N/A | , | 1.15&times;10<sup>-10</sup> | +1.36&times;10<sup>-10</sup>, -5.35&times;10<sup>-11</sup>| 3.56&times;10<sup>-10</sup> | N/A | , | N/A | 0.11 | +0.28, -1.5| 258 | +79.4, -68.3| N/A | , | 7.58&times;10<sup>-2</sup> | +0.12, -7.58&times;10<sup>-2</sup>| N/A | , | 1.7 | +0.33, -0.30| N/A | , | N/A | 1.57&times;10<sup>-10</sup> | +3.64&times;10<sup>-11</sup>, -2.90&times;10<sup>-11</sup>| 1.80&times;10<sup>-10</sup> | 1.3 | +7.56&times;10<sup>-2</sup>, -6.21&times;10<sup>-2</sup>| N/A | , | N/A | , | 0.15 | +7.43&times;10<sup>-2</sup>, -6.39&times;10<sup>-2</sup>| N/A | , | 1.9 | +0.21, -0.20| N/A | , | N/A | 4.29&times;10<sup>-12</sup> | +5.47&times;10<sup>-13</sup>, -4.79&times;10<sup>-13</sup>| 5.65&times;10<sup>-12</sup> | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | , | N/A | N/A | , | N/A 
